id;title;titleDisplay;description
;;;
1;Applications;Применения;
2;BuisnessUnits;Направления;
3;Classes;Классы;
4;Covers;Покрытия;
5;Descriptors;Описания;
6;DescriptorsImages;Изображения для описаний;
7;Groups;Группы;
8;GroupsApplications;Применения групп;
9;Images;Изображения;
10;LoadDiagrams;Типы нагрузок;
11;Manufacturers;Производители;
12;Materials;Материалы;
13;Norms;Нормативные документы;
14;Packages;Упаковки;
15;Perforations;Перфорации;
16;Products;Продукты;
17;ProductsAnalogs;Продукты-Аналоги;
18;ProductsVendorCodes;Коды продуктов поставщиков;
19;SubGroups;Подгруппы;
20;Units;Единицы измерения;
21;UnitsPakages;измерения для упаковки;
22;UnitsPerforations;измерения для перфорации;
23;UnitsProducts;измерения для  продуктов;
24;UnitsTypes;Типы измерений;
25;VendorCodes;Артикулы;
26;ResourceTypes;Типы файлов;
