id;idPerforation;Perforationtitle;idUnit;Unit;idType;TypeTitle;Value
;;;;;;;
1;1;13х25;3;Миллиметр;11;Шаг;50
2;1;13х25;3;Миллиметр;4;Ширина;13
3;1;13х25;3;Миллиметр;3;Длина;25
4;2;7х35;3;Миллиметр;11;Шаг;50
5;2;7х35;3;Миллиметр;4;Ширина;7
6;2;7х35;3;Миллиметр;3;Длина;35
7;3;14х30;3;Миллиметр;11;Шаг;50
8;3;14х30;3;Миллиметр;4;Ширина;14
9;3;14х30;3;Миллиметр;3;Длина;30
10;4;7х20;3;Миллиметр;11;Шаг;25
11;4;7х20;3;Миллиметр;4;Ширина;7
12;4;7х20;3;Миллиметр;3;Длина;20
13;5;7х25;3;Миллиметр;11;Шаг;50
14;5;7х25;3;Миллиметр;4;Ширина;7
15;5;7х25;3;Миллиметр;3;Длина;25
16;6;9х25;3;Миллиметр;11;Шаг;50
17;6;9х25;3;Миллиметр;4;Ширина;9
18;6;9х25;3;Миллиметр;3;Длина;25
